id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23968985,Apartment24-Breitensee 200m away from Metro U3,756858,Manfred,,Penzing,48.20167,16.31326,Entire home/apt,50,5,23,2021-12-30,0.52,6,69,4,
23969875,gemütliches WG-Zimmer in schönster Lage,79246221,Judith,,Neubau,48.1982,16.34387,Private room,28,2,2,2018-04-08,0.04,3,0,0,
23970635,gemütliches WG-Zimmer in schönster Lage,79246221,Judith,,Neubau,48.19806,16.34403,Shared room,35,1,1,2018-04-08,0.02,3,0,0,
23971262,Zimmer frei,93310783,Valerie,,Dbling,48.24959,16.34152,Private room,15,1,0,,,1,0,0,
23971970,---SUNNY 2-ROOM-APARTMENT WITH TERRACE---,79782555,Mona,,Brigittenau,48.2323,16.37217,Entire home/apt,59,2,9,2018-11-18,0.19,2,0,0,
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.24262,16.42767,Hotel room,110,1,14,2021-10-07,0.17,4,364,3,
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,70,28,340,2022-03-03,2.55,3,40,17,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,138,1,162,2021-11-01,1.15,15,326,6,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,67,28,329,2022-02-27,2.43,3,124,19,
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,23,2,117,2021-06-25,0.88,3,141,1,
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22207,16.31594,Entire home/apt,77,3,50,2019-01-02,0.39,1,0,0,
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.23493,16.36752,Entire home/apt,65,4,14,2019-12-01,0.11,1,292,0,
90247,Beautiful New Central Apartment,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,98,1,633,2022-02-18,4.77,2,294,2,
98210,CIty Center Zimmer mit eigener private Dusche,518644,Michael,,Margareten,48.19388,16.35859,Private room,30,3,98,2022-03-02,0.74,25,59,6,
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,95,1,123,2021-11-02,1.02,15,365,4,
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.22042,16.33377,Entire home/apt,52,3,152,2021-11-02,1.17,2,156,5,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,68,1,120,2020-01-04,0.92,15,314,0,
